id,title_no,par_id,source
932700,NA10C/397,5145213,LINZ
932701,NA10C/398,4949941,LINZ
932702,NA10C/40,5160507,LINZ
932703,NA10C/402,5187991,LINZ
932704,NA10C/403,4910539,LINZ
932705,NA10C/404,4930910,LINZ
932706,NA10C/408,5145762,LINZ
932707,NA10C/409,4749351,LINZ
932708,NA10C/41,4902829,LINZ
932709,NA10C/412,4787744,LINZ
932710,NA10C/413,5044755,LINZ
932711,NA10C/414,5039414,LINZ
932712,NA10C/415,5039391,LINZ
932713,NA10C/416,4915872,LINZ
932714,NA10C/417,4902356,LINZ
932715,NA10C/418,5047094,LINZ
932716,NA10C/419,5168577,LINZ
932717,NA10C/42,5031305,LINZ
932718,NA10C/420,5032840,LINZ
932719,NA10C/421,5171756,LINZ
932720,NA10C/422,5036485,LINZ
932721,NA10C/423,5039409,LINZ
932722,NA10C/424,4915897,LINZ
932723,NA10C/425,4910850,LINZ
932724,NA10C/426,5173987,LINZ
932725,NA10C/427,5044757,LINZ
932726,NA10C/428,5044355,LINZ
932727,NA10C/429,4852257,LINZ
932728,NA10C/431,5109681,LINZ
932729,NA10C/432,4980563,LINZ
932730,NA10C/434,4980587,LINZ
932731,NA10C/435,4980629,LINZ
932733,NA10C/438,4980585,LINZ
932734,NA10C/440,5109757,LINZ
932735,NA10C/442,5190204,LINZ
932736,NA10C/443,5048033,LINZ
932737,NA10C/444,5060247,LINZ
932738,NA10C/445,5176872,LINZ
932739,NA10C/446,5050878,LINZ
932740,NA10C/447,4932413,LINZ
932741,NA10C/448,4990009,LINZ
932742,NA10C/449,5061136,LINZ
932743,NA10C/45,4902828,LINZ
932744,NA10C/450,4932579,LINZ
932745,NA10C/451,5015264,LINZ
932746,NA10C/455,4796682,LINZ
932747,NA10C/456,4904744,LINZ
932748,NA10C/457,5040652,LINZ
932749,NA10C/458,4827329,LINZ
932750,NA10C/459,4998081,LINZ
932751,NA10C/460,5138586,LINZ
932753,NA10C/462,4863421,LINZ
932754,NA10C/465,5083629,LINZ
932755,NA10C/467,5000071,LINZ
932756,NA10C/468,5076738,LINZ
932757,NA10C/47,4943700,LINZ
932758,NA10C/470,4957175,LINZ
932759,NA10C/471,4825985,LINZ
932760,NA10C/472,4697369,LINZ
932761,NA10C/474,5040517,LINZ
932762,NA10C/477,4870715,LINZ
932763,NA10C/479,5017688,LINZ
932764,NA10C/480,4899157,LINZ
932765,NA10C/481,4692119,LINZ
932766,NA10C/482,4694973,LINZ
932767,NA10C/483,4953975,LINZ
932768,NA10C/485,4954775,LINZ
932769,NA10C/486,5131465,LINZ
932770,NA10C/487,4953241,LINZ
932771,NA10C/488,4850830,LINZ
932772,NA10C/489,4979179,LINZ
932773,NA10C/490,5086249,LINZ
932774,NA10C/491,4715496,LINZ
932775,NA10C/492,5098887,LINZ
932776,NA10C/494,4969954,LINZ
